policy,budget_ratio,original_seq_len,retained_positions,cache_retention_ratio,kv_cache_bytes,prefill_latency_sec,decode_latency_sec,tokens_per_second,peak_memory_mb,generated_tokens,generated_text,prompt_id,domain,target_length,target_keyword,instruction_retained,repeat,seed,model_name,protected_tokens_count
Full_KV,1.0,558,558,1.0,13713408,0.10472659999868483,0.23557219999929657,106.12457666938056,1256.16015625,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,1,42,EleutherAI/pythia-70m,
Recent_Window,0.5,558,279,0.5,6856704,0.07607529999950202,0.20229619999736315,123.58116465027946,1261.203125,25, in the same state as the database engine. The database engine must be in the same state as the database engine. The database,0,Database Choice,512,PostgreSQL,False,1,42,EleutherAI/pythia-70m,
Attention_Guided,0.5,558,279,0.5,6856704,0.08249950000026729,0.23103579999951762,108.20833827507337,1345.80859375,25," PostgreSQL.
Database Engine Rule: The database engine must be PostgreSQL.
Database Engine Rule: The database",0,Database Choice,512,PostgreSQL,True,1,42,EleutherAI/pythia-70m,
Protected_Attention,0.5,558,279,0.5,6856704,0.07774830000198563,0.21789799999896786,114.73258130005057,1345.9453125,25," PostgreSQL.
2. Protocol Rule: The database engine must be PostgreSQL.
3. Protocol Rule:",0,Database Choice,512,PostgreSQL,True,1,42,EleutherAI/pythia-70m,13.0
Recent_Window,0.25,558,140,0.25089605734767023,3440640,0.0728793999987829,0.22676770000180113,110.24497756868124,1345.94921875,25," in the same database as the database engine.
Database Engine Rule: The database engine must be in the same database as the",0,Database Choice,512,PostgreSQL,False,1,42,EleutherAI/pythia-70m,
Attention_Guided,0.25,558,140,0.25089605734767023,3440640,0.08304219999990892,0.23458550000214018,106.57095174156936,1346.43359375,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,1,42,EleutherAI/pythia-70m,
Protected_Attention,0.25,558,140,0.25089605734767023,3440640,0.10628520000318531,0.26414959999965504,94.64333847195925,1350.57421875,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,1,42,EleutherAI/pythia-70m,13.0
Recent_Window,0.125,558,70,0.12544802867383512,1720320,0.08213319999777013,0.245632400001341,101.77810419091095,1350.57421875,25, in the database engine. This is the database engine. This is the database engine. This is the database engine. This is,0,Database Choice,512,PostgreSQL,False,1,42,EleutherAI/pythia-70m,
Attention_Guided,0.125,558,70,0.12544802867383512,1720320,0.10100489999967976,0.23152359999949113,107.98035275909216,1350.21875,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,1,42,EleutherAI/pythia-70m,
Protected_Attention,0.125,558,70,0.12544802867383512,1720320,0.0813345999995363,0.22704369999701157,110.110961019086,1350.21484375,25," PostgreSQL.

=== REQUIRED SPECIFICATION RECALL ===
Database Engine Rule: The database engine",0,Database Choice,512,PostgreSQL,True,1,42,EleutherAI/pythia-70m,13.0
